ASV	SRR10153501	SRR10153511	SRR10153503	SRR10153499	SRR10153500	SRR10153504	SRR10153502	SRR10153505	SRR10153509	SRR10153514	SRR10153507	SRR10153512	SRR10153510	SRR10153508	SRR10153506	SRR10153515	SRR10153513	SRR10153573
ASV1	0	0	0	0	462	0	0	0	104	2796	0	0	1334	3054	0	0	217	840
ASV2	140	121	0	1076	0	0	0	0	0	284	0	4499	0	0	0	0	0	2259
ASV3	2032	1099	256	405	624	1132	0	39	32	594	19	357	214	41	476	127	0	570
ASV4	0	0	0	0	0	0	0	0	0	725	0	3304	0	81	0	0	589	3006
ASV5	124	0	1247	0	323	287	0	0	786	0	0	0	916	474	2066	0	153	355
ASV6	1027	0	186	208	1464	692	0	0	163	414	527	124	645	0	790	353	0	96
ASV7	17	1917	0	0	274	177	0	0	330	460	0	0	2023	296	0	0	366	119
ASV8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5549	0	0
ASV9	38	588	31	2916	20	0	0	0	0	29	0	221	0	306	0	0	442	78
ASV10	72	341	348	227	535	53	0	0	289	26	19	0	0	371	654	1386	24	62
ASV11	0	0	0	29	284	1249	0	0	48	0	332	0	193	12	630	0	1213	0
ASV12	558	0	16	78	656	154	309	612	328	239	221	0	338	0	0	0	149	34
ASV13	0	0	0	0	12	0	165	2520	0	113	540	5	0	0	0	0	30	0
ASV14	0	0	0	203	0	0	0	0	3096	0	0	0	0	0	0	0	0	0
ASV15	0	0	78	173	313	523	0	0	115	252	10	188	274	150	559	0	0	440
ASV16	13	1448	483	0	201	23	0	0	94	0	0	0	204	86	0	0	0	182
ASV17	0	0	2583	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0
ASV18	0	0	198	976	6	451	106	592	0	0	0	0	131	0	0	0	172	0
ASV19	0	0	68	48	162	565	0	0	0	315	854	20	211	10	38	0	142	26
ASV20	178	475	217	222	189	547	0	0	0	282	0	0	86	0	96	0	0	71
ASV21	187	39	0	0	0	0	0	0	0	276	1459	0	0	17	0	0	302	0
ASV22	0	125	0	440	0	0	0	0	0	0	0	0	33	1417	25	0	56	107
ASV23	0	0	0	0	0	0	881	1154	8	57	0	0	0	0	0	0	0	0
ASV24	354	51	114	33	0	0	460	196	0	67	204	0	134	0	265	0	135	39
ASV25	0	0	0	0	64	287	1339	0	0	128	40	61	0	44	0	82	0	0
ASV26	0	0	0	0	0	0	0	0	0	0	0	0	0	1786	0	0	54	69
ASV27	0	26	0	0	0	0	1610	0	0	0	0	0	79	0	0	0	33	0
ASV28	144	34	0	40	80	257	182	432	92	53	141	0	125	0	0	0	130	7
ASV29	715	627	168	0	0	81	0	0	0	0	0	0	0	0	0	52	0	67
