sequence_id	domain_predicted	domain_raw_score	domain_entropy	phylum_predicted	phylum_raw_score	phylum_entropy	class_predicted	class_raw_score	class_entropy	order_predicted	order_raw_score	order_entropy	family_predicted	family_raw_score	family_entropy	genus_predicted	genus_raw_score	genus_entropy	species_predicted	species_raw_score	species_entropy	sequence_length
ASV1	Bacteria	1.0	0.0	Bacteroidota	0.9999984502792358	0.0	Bacteroidia	1.0	0.0	Bacteroidales	0.9997681975364685	0.0022	Bacteroidaceae	0.9999889135360718	0.0002	Prevotella	0.9999880790710449	0.0002	Prevotella corporis	0.9999865293502808	0.0002	253
ASV2	Bacteria	0.9999998807907104	0.0	Bacteroidota	1.0	0.0	Bacteroidia	1.0	0.0	Bacteroidales	0.9999526739120483	0.0006	Bacteroidaceae	0.9999818801879883	0.0002	Prevotella	0.999996542930603	0.0001	Prevotella bivia	0.9999457597732544	0.0009	253
ASV3	Bacteria	1.0	0.0	Bacillota_A_368345	1.0	0.0	Clostridia_258483	1.0	0.0	Tissierellales	0.9999948740005493	0.0001	Peptoniphilaceae	0.999992847442627	0.0001	Finegoldia	0.9999998807907104	0.0	Finegoldia magna_H	0.9988631010055542	0.0097	252
ASV4	Bacteria	1.0	0.0	Bacteroidota	1.0	0.0	Bacteroidia	1.0	0.0	Bacteroidales	0.999969482421875	0.0004	Bacteroidaceae	0.9999996423721313	0.0	Prevotella	0.9999991655349731	0.0	Prevotella disiens	0.999969482421875	0.0005	253
ASV5	Bacteria	1.0	0.0	Bacillota_A_368345	0.9999998807907104	0.0	Clostridia_258483	1.0	0.0	Tissierellales	0.9999948740005493	0.0001	Peptoniphilaceae	0.9999980926513672	0.0	Fenollaria	1.0	0.0	Fenollaria massiliensis	0.9999997615814209	0.0	253
ASV6	Bacteria	0.9999997615814209	0.0	Bacteroidota	0.9999829530715942	0.0002	Bacteroidia	0.9999841451644897	0.0002	Bacteroidales	0.9998219609260559	0.0018	Bacteroidaceae	0.9995965361595154	0.0043	Phocaeicola_A	0.9997155070304871	0.003	Phocaeicola_A vulgatus	0.9996300935745239	0.004	253
ASV7	Bacteria	0.9999982118606567	0.0	Campylobacterota_A	0.9997373223304749	0.0028	Campylobacteria	0.9999603033065796	0.0006	Campylobacterales	0.9999780654907227	0.0003	Campylobacteraceae	0.999945878982544	0.0007	Campylobacter_B	0.9997429251670837	0.0037	Campylobacter_B hominis	0.9999310970306396	0.0012	253
ASV8	Bacteria	0.9999998807907104	0.0	Bacteroidota	0.9999991655349731	0.0	Bacteroidia	0.9999991655349731	0.0	Bacteroidales	0.9999963045120239	0.0001	Bacteroidaceae	0.9999966621398926	0.0001	Prevotella	0.9999809265136719	0.0003	Prevotella melaninogenica	0.9985987544059753	0.0186	253
ASV9	Bacteria	1.0	0.0	Bacteroidota	1.0	0.0	Bacteroidia	1.0	0.0	Bacteroidales	0.999998927116394	0.0	Bacteroidaceae	0.9999144077301025	0.0009	Prevotella	0.999990701675415	0.0001	Prevotella buccalis	0.9999505281448364	0.0008	253
ASV10	Bacteria	1.0	0.0	Bacteroidota	1.0	0.0	Bacteroidia	0.9999998807907104	0.0	Bacteroidales	0.9999828338623047	0.0002	Bacteroidaceae	0.9999951124191284	0.0001	Prevotella	0.9999581575393677	0.0006	Prevotella buccalis	0.9998399019241333	0.0024	253
