sample	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR10153501	14180	14180	13954	13998	11430	11430
SRR10153511	10621	10621	10366	10511	9157	9157
SRR10153503	13782	13782	13504	13520	9912	9860
SRR10153499	11688	11688	11488	11507	9598	9598
SRR10153500	15828	15482	15004	15103	11423	11423
SRR10153504	14467	14467	14074	14180	11753	11753
SRR10153502	10482	10482	10197	10264	7481	7325
SRR10153505	12705	12705	12426	12412	9367	9340
SRR10153509	14382	14382	13969	14097	10528	10493
SRR10153514	11063	11063	10838	10832	9044	8959
SRR10153507	11403	11403	11080	11166	8453	8335
SRR10153512	12542	12542	12448	12438	11359	10638
SRR10153510	13186	13186	12818	12809	11024	11024
SRR10153508	11681	11681	11483	11459	10052	9452
SRR10153506	13557	13557	13303	13310	11257	11257
SRR10153515	12525	12525	12282	12412	10188	10116
SRR10153513	11066	11066	10580	10587	7607	7604
SRR10153573	14046	14046	13835	13770	11229	10614
